Trace ID,Amplitude Range,Start time,End time,Similarity
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:44.970000Z,2019-03-11T19:26:29.970000Z,0.835085
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:49.970000Z,2019-03-11T19:26:34.970000Z,0.836248
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:54.970000Z,2019-03-11T19:26:39.970000Z,0.836590
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:19:59.970000Z,2019-03-11T19:26:44.970000Z,0.836112
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:20:04.970000Z,2019-03-11T19:26:49.970000Z,0.834814
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:20:09.970000Z,2019-03-11T19:26:54.970000Z,0.832699
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:20:14.970000Z,2019-03-11T19:26:59.970000Z,0.829769
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:20:19.970000Z,2019-03-11T19:27:04.970000Z,0.826027
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:20:24.970000Z,2019-03-11T19:27:09.970000Z,0.821478
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:20:29.970000Z,2019-03-11T19:27:14.970000Z,0.816126
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:20:34.970000Z,2019-03-11T19:27:19.970000Z,0.809978
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:20:39.970000Z,2019-03-11T19:27:24.970000Z,0.803041
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:27:54.970000Z,2019-03-11T19:34:39.970000Z,-0.801701
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:27:59.970000Z,2019-03-11T19:34:44.970000Z,-0.804631
Deglitched_sol_102_ZNE.mseed,0.00,2019-03-11T05:28:04.970000Z,2019-03-11T19:34:49.970000Z,-0.806769
